seed,target_primary,target_node,channel,intensity,changed_dimensions,state_signature_l2,delta_openness,delta_agency,delta_stability,delta_uncertainty,delta_adaptability,delta_input_load
808080,ai,20,info,0.15,5,0.021664650959899473,0.0040000000000000036,-0.002062499999999995,-0.0008099999999999774,-0.002728936599533438,0.0,0.021
808080,ai,20,resource,0.15,5,0.02194887071011334,0.0014000000000000123,-0.002062499999999995,-0.0011609999999999676,-0.005761171599533488,0.0,0.021
808080,ai,20,authority,0.15,5,0.02346757910355004,-0.0024000000000000132,-0.008250000000000007,-0.0016739999999999533,-0.0057534765995334025,0.0,0.021
808080,ai,20,physical,0.15,5,0.02220733173417678,-0.003400000000000014,-0.002062499999999995,-0.0018089999999999495,-0.005751451599533386,0.0,0.021
808080,ai,20,ecology,0.15,5,0.022313476358483762,-0.0040000000000000036,-0.002062499999999995,-0.0018899999999999473,-0.005750236599533443,0.0,0.021
808080,ai,20,info,0.45,5,0.06438734291146152,0.0040000000000000036,-0.0061875000000000124,-0.0024300000000000432,0.010795363400466496,0.0,0.06300000000000001
808080,ai,20,resource,0.45,5,0.06343707027922615,0.0014000000000000123,-0.0061875000000000124,-0.003483000000000014,0.0016986584004665684,0.0,0.06300000000000001
808080,ai,20,authority,0.45,5,0.06793752559769198,-0.0024000000000000132,-0.024749999999999994,-0.005021999999999971,0.0017217434004666021,0.0,0.06300000000000001
808080,ai,20,physical,0.45,5,0.0636496884648699,-0.003400000000000014,-0.0061875000000000124,-0.00542699999999996,0.001727818400466541,0.0,0.06300000000000001
808080,ai,20,ecology,0.45,5,0.06370582408035513,-0.0040000000000000036,-0.0061875000000000124,-0.005669999999999953,0.001731463400466593,0.0,0.06300000000000001
808080,ai,20,info,0.75,5,0.10842138250438423,0.0040000000000000036,-0.010312500000000002,-0.004049999999999998,0.02431966340046654,0.0,0.10500000000000001
808080,ai,20,resource,0.75,5,0.10607018238426613,0.0014000000000000123,-0.010312500000000002,-0.005804999999999949,0.009158488400466624,0.0,0.10500000000000001
808080,ai,20,authority,0.75,5,0.11352076257579283,-0.0024000000000000132,-0.04125000000000001,-0.008369999999999989,0.009196963400466607,0.0,0.10500000000000001
808080,ai,20,physical,0.75,5,0.10634608670780514,-0.003400000000000014,-0.010312500000000002,-0.00904499999999997,0.009207088400466579,0.0,0.10500000000000001
808080,ai,20,ecology,0.75,5,0.10640269045514639,-0.0040000000000000036,-0.010312500000000002,-0.009449999999999958,0.009213163400466629,0.0,0.10500000000000001
